accession_version,taxid
NZ_CP052108.1,"IntegerElement(305, attributes={})"
NZ_CP083530.1,"IntegerElement(562, attributes={})"
NZ_CP110398.1,"IntegerElement(624, attributes={})"
NZ_CP010518.3,"IntegerElement(93218, attributes={})"
NZ_CP012171.1,"IntegerElement(1690248, attributes={})"
NZ_CP024252.1,"IntegerElement(2048779, attributes={})"
NZ_CP028826.1,"IntegerElement(294, attributes={})"
NZ_CP040531.1,"IntegerElement(28450, attributes={})"
NZ_CP061801.1,"IntegerElement(539813, attributes={})"
NZ_CP080597.1,"IntegerElement(2866386, attributes={})"
NZ_CP033352.1,"IntegerElement(59201, attributes={})"
NZ_CP110404.1,"IntegerElement(624, attributes={})"
NZ_CP025211.1,"IntegerElement(573, attributes={})"
NC_012791.1,"IntegerElement(543728, attributes={})"
NZ_LR134254.1,"IntegerElement(548, attributes={})"
NZ_CP056083.1,"IntegerElement(305, attributes={})"
NZ_CP061929.1,"IntegerElement(211968, attributes={})"
NZ_CP007804.1,"IntegerElement(90371, attributes={})"
NZ_CP030169.1,"IntegerElement(487838, attributes={})"
NZ_CP062004.1,"IntegerElement(211968, attributes={})"
NZ_CP052114.1,"IntegerElement(305, attributes={})"
NZ_CP052102.1,"IntegerElement(305, attributes={})"
NZ_CP050865.1,"IntegerElement(562, attributes={})"
NC_014834.1,"IntegerElement(652103, attributes={})"
NZ_CP052068.1,"IntegerElement(305, attributes={})"
NZ_LT904894.1,"IntegerElement(90370, attributes={})"
NZ_CP042499.1,"IntegerElement(2596949, attributes={})"
NZ_CP014205.1,"IntegerElement(1785145, attributes={})"
NZ_LR699006.1,"IntegerElement(546, attributes={})"
NZ_CP020975.1,"IntegerElement(317013, attributes={})"
NZ_AP024159.1,"IntegerElement(305, attributes={})"
NZ_CP015024.1,"IntegerElement(1072590, attributes={})"
NZ_CP023016.1,"IntegerElement(305, attributes={})"
NZ_CP027612.1,"IntegerElement(574, attributes={})"
NZ_CP025515.1,"IntegerElement(573, attributes={})"
NZ_CP045761.1,"IntegerElement(1299291, attributes={})"
NZ_CP026153.1,"IntegerElement(573, attributes={})"
NC_010067.1,"IntegerElement(41514, attributes={})"
NZ_CP018043.1,"IntegerElement(1920667, attributes={})"
NZ_CP038432.1,"IntegerElement(90371, attributes={})"
NZ_CP022243.1,"IntegerElement(670, attributes={})"
NZ_CP053851.1,"IntegerElement(562, attributes={})"
NZ_CP035905.1,"IntegerElement(573, attributes={})"
NZ_CP039576.1,"IntegerElement(90371, attributes={})"
NZ_CP030787.1,"IntegerElement(208962, attributes={})"
NZ_CP007235.1,"IntegerElement(1454639, attributes={})"
NZ_LT883153.1,"IntegerElement(90370, attributes={})"
NZ_CP016552.1,"IntegerElement(1422, attributes={})"
NZ_CP007557.1,"IntegerElement(1333848, attributes={})"
NZ_CP016636.1,"IntegerElement(28450, attributes={})"
NZ_CP068795.1,"IntegerElement(562, attributes={})"
NZ_CP022459.1,"IntegerElement(624, attributes={})"
NZ_CP014663.1,"IntegerElement(1454588, attributes={})"
NZ_LS483456.1,"IntegerElement(59202, attributes={})"
NC_021151.1,"IntegerElement(1171376, attributes={})"
NZ_CP052120.1,"IntegerElement(305, attributes={})"
